Data,Nuovi casi
2020-02-25,93
2020-02-26,78
2020-02-27,250
2020-02-28,238
2020-02-29,240
2020-03-01,566
2020-03-02,342
2020-03-03,466
2020-03-04,587
2020-03-05,769
2020-03-06,778
2020-03-07,1247
2020-03-08,1492
2020-03-09,1797
2020-03-10,977
2020-03-11,2313
2020-03-12,2651
2020-03-13,2547
2020-03-14,3497
2020-03-15,3590
2020-03-16,3233
2020-03-17,3526
2020-03-18,4207
2020-03-19,5322
2020-03-20,5986
2020-03-21,6557
2020-03-22,5560
2020-03-23,4789
2020-03-24,5249
2020-03-25,5210
2020-03-26,6153
2020-03-27,5959
2020-03-28,5974
2020-03-29,5217
2020-03-30,4050
2020-03-31,4053
2020-04-01,4782
2020-04-02,4668
2020-04-03,4585
2020-04-04,4805
2020-04-05,4316
2020-04-06,3599
2020-04-07,3039
2020-04-08,3836
2020-04-09,4204
2020-04-10,3951
2020-04-11,4694
2020-04-12,4092
2020-04-13,3153
2020-04-14,2972
2020-04-15,2667
2020-04-16,3786
2020-04-17,3493
2020-04-18,3491
2020-04-19,3047
2020-04-20,2256
2020-04-21,2729
2020-04-22,3370
2020-04-23,2646
2020-04-24,3021
2020-04-25,2357
2020-04-26,2324
2020-04-27,1739
2020-04-28,2091
2020-04-29,2086
2020-04-30,1872
2020-05-01,1965
2020-05-02,1900
2020-05-03,1389
2020-05-04,1221
2020-05-05,1075
2020-05-06,1444
2020-05-07,1401
2020-05-08,1327
2020-05-09,1083
2020-05-10,802
2020-05-11,744
2020-05-12,1402
2020-05-13,888
2020-05-14,992
2020-05-15,789
2020-05-16,875
2020-05-17,675
2020-05-18,451
2020-05-19,813
2020-05-20,665
2020-05-21,642
2020-05-22,652
2020-05-23,669
2020-05-24,531
2020-05-25,300
2020-05-26,397
2020-05-27,584
2020-05-28,593
2020-05-29,516
2020-05-30,416
2020-05-31,355
2020-06-01,178
2020-06-02,318
2020-06-03,321
2020-06-04,177
2020-06-05,518
2020-06-06,270
2020-06-07,197
2020-06-08,280
2020-06-09,283
2020-06-10,202
2020-06-11,379
2020-06-12,163
2020-06-13,346
2020-06-14,338
2020-06-15,303
2020-06-16,210
2020-06-17,329
2020-06-18,333
2020-06-19,251
2020-06-20,262
2020-06-21,224
2020-06-22,218
2020-06-23,122
2020-06-24,190
2020-06-25,296
2020-06-26,259
2020-06-27,175
2020-06-28,174
2020-06-29,126
2020-06-30,142
2020-07-01,187
2020-07-02,201
2020-07-03,223
2020-07-04,235
2020-07-05,192
2020-07-06,208
2020-07-07,138
2020-07-08,193
2020-07-09,229
2020-07-10,276
2020-07-11,188
2020-07-12,234
2020-07-13,169
2020-07-14,114
2020-07-15,163
2020-07-16,230
2020-07-17,233
2020-07-18,249
2020-07-19,219
2020-07-20,190
2020-07-21,129
2020-07-22,282
2020-07-23,306
2020-07-24,252
2020-07-25,275
2020-07-26,255
2020-07-27,170
2020-07-28,212
2020-07-29,289
2020-07-30,386
2020-07-31,379
2020-08-01,295
2020-08-02,239
2020-08-03,159
2020-08-04,190
2020-08-05,384
2020-08-06,402
2020-08-07,552
2020-08-08,347
2020-08-09,463
2020-08-10,259
2020-08-11,412
2020-08-12,481
2020-08-13,523
2020-08-14,574
2020-08-15,629
2020-08-16,479
2020-08-17,320
2020-08-18,403
2020-08-19,642
2020-08-20,845
2020-08-21,947
2020-08-22,1071
2020-08-23,1210
2020-08-24,953
2020-08-25,878
2020-08-26,1367
2020-08-27,1411
2020-08-28,1462
2020-08-29,1444
2020-08-30,1365
2020-08-31,996
2020-09-01,978
2020-09-02,1326
2020-09-03,1397
2020-09-04,1733
2020-09-05,1694
2020-09-06,1297
2020-09-07,1108
2020-09-08,1370
2020-09-09,1434
2020-09-10,1597
2020-09-11,1616
2020-09-12,1501
2020-09-13,1458
2020-09-14,1008
2020-09-15,1229
2020-09-16,1452
2020-09-17,1585
2020-09-18,1907
2020-09-19,1638
2020-09-20,1587
2020-09-21,1350
2020-09-22,1392
2020-09-23,1640
2020-09-24,1786
2020-09-25,1912
2020-09-26,1869
2020-09-27,1766
2020-09-28,1494
2020-09-29,1648
2020-09-30,1851
2020-10-01,2548
2020-10-02,2499
2020-10-03,2844
2020-10-04,2578
2020-10-05,2257
2020-10-06,2677
2020-10-07,3678
2020-10-08,4458
2020-10-09,5372
2020-10-10,5724
2020-10-11,5456
2020-10-12,4619
2020-10-13,5901
2020-10-14,7332
2020-10-15,8804
2020-10-16,10010
2020-10-17,10925
2020-10-18,11705
2020-10-19,9338
2020-10-20,10874
2020-10-21,15199
2020-10-22,16079
2020-10-23,19143
2020-10-24,19644
2020-10-25,21273
2020-10-26,17012
2020-10-27,21994
2020-10-28,24991
2020-10-29,26831
2020-10-30,31084
2020-10-31,31758
2020-11-01,29907
2020-11-02,22253
2020-11-03,28244
2020-11-04,30550
2020-11-05,34505
2020-11-06,37809
2020-11-07,39811
2020-11-08,32616
2020-11-09,25271
2020-11-10,35098
2020-11-11,32961
2020-11-12,37978
2020-11-13,40902
2020-11-14,37255
2020-11-15,33979
2020-11-16,27354
2020-11-17,32191
2020-11-18,34282
2020-11-19,36176
2020-11-20,37242
2020-11-21,34767
2020-11-22,28337
2020-11-23,22930
2020-11-24,23232
2020-11-25,25853
2020-11-26,29003
2020-11-27,28352
2020-11-28,26323
2020-11-29,20648
2020-11-30,16377
2020-12-01,19350
2020-12-02,20709
2020-12-03,23225
2020-12-04,24099
2020-12-05,21052
2020-12-06,18887
2020-12-07,13720
2020-12-08,14842
2020-12-09,12756
2020-12-10,16999
2020-12-11,18727
2020-12-12,19903
2020-12-13,17938
2020-12-14,12030
2020-12-15,14844
2020-12-16,17572
2020-12-17,18236
2020-12-18,17992
2020-12-19,16308
2020-12-20,15104
2020-12-21,10872
2020-12-22,13318
2020-12-23,14522
2020-12-24,18040
2020-12-25,19037
2020-12-26,10431
2020-12-27,8913
2020-12-28,8585
2020-12-29,11224
2020-12-30,16202
2020-12-31,23477
2021-01-01,22211
2021-01-02,11831
2021-01-03,14245
2021-01-04,10800
2021-01-05,15378
2021-01-06,20331
2021-01-07,18020
2021-01-08,17533
2021-01-09,19978
2021-01-10,18627
2021-01-11,12532
2021-01-12,14242
2021-01-13,15774
2021-01-14,17246
2021-01-15,16146
2021-01-16,16310
2021-01-17,12545
2021-01-18,8825
2021-01-19,10497
2021-01-20,13571
2021-01-21,14078
2021-01-22,13633
2021-01-23,13331
2021-01-24,11629
2021-01-25,8562
2021-01-26,10593
2021-01-27,15204
2021-01-28,14372
2021-01-29,13574
2021-01-30,12715
2021-01-31,11252
2021-02-01,7925
2021-02-02,9660
2021-02-03,13189
2021-02-04,13659
2021-02-05,14218
2021-02-06,13442
2021-02-07,11641
2021-02-08,7970
2021-02-09,10630
2021-02-10,12956
2021-02-11,15146
2021-02-12,13908
2021-02-13,13532
2021-02-14,11068
2021-02-15,7351
2021-02-16,10386
2021-02-17,12074
2021-02-18,13762
2021-02-19,15479
2021-02-20,14931
2021-02-21,13452
2021-02-22,9630
2021-02-23,13314
2021-02-24,16424
2021-02-25,19886
2021-02-26,20499
2021-02-27,18916
2021-02-28,17455
2021-03-01,13114
2021-03-02,17083
2021-03-03,20884
2021-03-04,22865
2021-03-05,24036
2021-03-06,23641
2021-03-07,20765
2021-03-08,13902
2021-03-09,19749
2021-03-10,22409
2021-03-11,25673
2021-03-12,26824
2021-03-13,26062
2021-03-14,21315
2021-03-15,15267
2021-03-16,20396
2021-03-17,23059
2021-03-18,24935
2021-03-19,25735
2021-03-20,23832
2021-03-21,20159
2021-03-22,13846
2021-03-23,18765
2021-03-24,21267
2021-03-25,23798
2021-03-26,23987
2021-03-27,23776
2021-03-28,19611
2021-03-29,12916
2021-03-30,16013
2021-03-31,22516
2021-04-01,23649
2021-04-02,21932
2021-04-03,21261
2021-04-04,18025
2021-04-05,10680
2021-04-06,7767
2021-04-07,13708
2021-04-08,17221
2021-04-09,18938
2021-04-10,17567
2021-04-11,15746
2021-04-12,9789
2021-04-13,13447
2021-04-14,16168
2021-04-15,16974
2021-04-16,15943
2021-04-17,15370
2021-04-18,12694
2021-04-19,8864
2021-04-20,12074
2021-04-21,13844
2021-04-22,16050
2021-04-23,14761
2021-04-24,13817
2021-04-25,13158
2021-04-26,8444
2021-04-27,10404
2021-04-28,13385
2021-04-29,14320
2021-04-30,13446
2021-05-01,12965
2021-05-02,9148
2021-05-03,5948
2021-05-04,9116
2021-05-05,10585
2021-05-06,11807
2021-05-07,10554
2021-05-08,10176
2021-05-09,8292
2021-05-10,5080
2021-05-11,6946
2021-05-12,7852
2021-05-13,8085
2021-05-14,7567
2021-05-15,6659
2021-05-16,5753
2021-05-17,3455
2021-05-18,4452
2021-05-19,5506
2021-05-20,5741
2021-05-21,5218
2021-05-22,4717
2021-05-23,3995
2021-05-24,2490
2021-05-25,3224
2021-05-26,3937
2021-05-27,4147
2021-05-28,3738
2021-05-29,3351
2021-05-30,2949
2021-05-31,1820
2021-06-01,2483
2021-06-02,2897
2021-06-03,1968
2021-06-04,2557
2021-06-05,2436
2021-06-06,2275
2021-06-07,1273
2021-06-08,1896
2021-06-09,2199
2021-06-10,2079
2021-06-11,1901
2021-06-12,1723
2021-06-13,1390
2021-06-14,907
2021-06-15,1255
2021-06-16,1400
2021-06-17,1325
2021-06-18,1147
2021-06-19,1197
2021-06-20,881
2021-06-21,495
2021-06-22,835
2021-06-23,951
2021-06-24,927
2021-06-25,753
2021-06-26,838
2021-06-27,782
2021-06-28,389
2021-06-29,679
2021-06-30,776
2021-07-01,882
2021-07-02,794
2021-07-03,932
2021-07-04,808
2021-07-05,480
2021-07-06,907
2021-07-07,1010
2021-07-08,1394
